V240001,V241004,V241006,V241012,V241025,V241042,V241043,V241100,V241104,V241108,V241118,V241119,V241120,V241121,V241122,V241123,V241124,V241125,V241126,V241141,V241150,V241153,V241156,V241157,V241200,V241201,V241202,V241203,V241204,V241205,V241206,V241207,V241208,V241209,V241215,V241231,V241232,V241233,V241234,V241458x,V241459,V241463,V241471,V241501x,V241567x,V241621,V243052
231746,3,1,1,1,1,1,2,1,1,3,4,3,2,2,4,2,3,3,1,1,1,85,0,2,2,2,2,2,5,5,5,5,5,1,2,1,4,2,40,1,5,1,1,743607,2,PA
231788,2,1,1,1,1,1,1,1,1,3,3,2,2,3,2,3,2,2,1,1,1,70,40,3,3,3,3,3,3,4,4,5,3,1,2,2,4,2,42,1,6,1,1,241005,2,PA
231806,1,1,1,1,1,1,1,1,5,2,3,4,2,3,2,3,2,4,1,1,2,100,50,2,1,2,2,2,4,4,5,5,4,2,2,2,3,2,59,6,4,2,2,38912,2,PA
231824,2,2,1,1,1,1,1,1,1,3,3,3,4,3,3,2,3,4,1,1,1,70,30,4,2,3,2,1,3,5,5,5,3,2,1,2,3,2,54,1,5,1,4,649531,3,PA
232077,1,1,1,1,1,1,1,1,1,4,3,3,3,3,3,3,3,3,1,1,1,85,0,3,3,2,2,1,5,5,5,5,5,1,1,1,4,2,61,1,5,2,1,426888,1,PA
232101,1,1,1,4,1,1,1,1,1,3,5,5,5,2,4,1,5,5,1,2,2,59,0,3,3,3,3,4,5,5,4,5,5,2,1,2,4,2,32,6,5,1,6,83274,2,PA
232178,1,2,1,4,1,2,1,2,2,1,5,5,5,1,5,1,5,5,2,2,2,0,100,5,5,3,5,3,1,1,1,1,1,1,2,1,4,3,48,1,1,1,4,309859,1,PA
232229,3,1,1,1,1,1,1,1,1,2,2,1,2,2,3,3,2,2,1,1,1,70,0,3,2,3,3,3,5,5,5,5,2,1,1,1,4,2,47,1,4,1,4,715876,2,PA
232252,2,1,1,1,1,1,1,1,1,3,3,1,1,3,3,4,1,3,1,1,1,85,0,2,1,1,1,2,5,5,5,5,4,1,1,2,4,2,61,1,4,2,1,85311,2,PA
232323,3,2,1,4,1,2,1,2,2,5,1,3,3,3,5,1,3,4,2,2,2,0,100,5,5,5,5,3,1,1,3,4,2,2,1,1,1,4,38,1,2,1,1,165452,1,PA
232462,3,1,1,5,1,1,2,1,5,2,3,3,3,2,3,2,3,3,1,2,1,60,0,3,3,2,3,3,4,5,5,5,4,2,1,2,2,2,20,6,4,1,6,9722,2,PA
232555,2,2,1,5,1,1,1,1,1,2,5,5,5,2,5,2,5,5,1,1,1,65,0,3,4,3,3,2,5,5,5,5,4,1,1,2,4,2,31,6,4,2,1,186753,4,PA
232567,3,2,1,5,1,2,2,2,5,3,3,2,2,3,3,3,2,3,2,2,2,0,55,5,4,5,5,4,1,3,4,5,1,2,1,1,1,5,24,6,4,1,1,173832,5,PA
232769,2,1,1,5,1,1,1,1,1,2,1,2,2,3,3,3,2,3,1,1,1,80,0,2,3,2,2,2,4,5,5,5,3,1,1,2,3,2,33,6,4,2,1,1262,3,PA
232829,3,1,1,5,1,1,1,1,1,2,3,3,3,1,5,1,4,5,1,1,1,95,0,1,1,1,1,1,5,5,5,5,5,1,1,1,3,2,34,1,4,1,3,179830,3,PA
232900,3,2,1,4,1,1,3,1,5,3,2,4,3,3,3,3,4,3,1,2,1,60,0,2,3,2,3,2,4,5,5,5,3,2,1,1,1,2,49,1,4,1,1,311150,1,PA
232983,2,1,1,5,1,1,1,1,5,1,4,3,4,1,4,1,4,3,2,2,2,85,0,1,2,1,3,1,4,5,5,5,4,2,1,1,2,3,26,6,4,1,3,243783,4,PA
233061,4,2,1,5,1,2,2,5,5,2,4,4,3,2,4,2,4,4,2,2,2,15,85,5,5,5,5,5,2,1,2,2,1,2,1,1,3,4,21,6,2,1,4,120906,3,PA
233493,2,1,1,1,1,1,1,1,1,3,3,3,3,3,4,3,3,4,1,1,1,85,0,2,2,2,2,2,5,5,5,5,5,1,2,2,4,2,36,1,6,2,4,125371,2,PA
233595,2,1,1,4,1,1,1,1,2,2,4,3,4,1,4,1,4,5,1,1,1,70,15,1,2,1,2,2,5,5,5,2,3,3,1,1,2,3,26,6,4,1,1,85015,3,PA
233690,1,1,1,1,1,1,1,1,1,5,2,3,2,4,3,4,3,3,1,1,1,100,0,2,2,1,1,1,5,5,5,5,4,2,1,2,3,3,44,6,2,1,3,90669,2,PA
233725,2,1,1,1,1,1,1,1,5,2,4,4,4,1,4,2,4,4,1,1,1,85,0,3,1,1,1,1,4,5,5,5,3,1,1,2,3,4,21,6,2,1,3,10784,1,PA
233808,2,1,1,4,1,1,2,5,1,3,2,3,3,2,3,3,4,1,2,2,2,70,40,2,4,4,3,2,5,3,5,5,4,2,1,1,4,1,50,1,4,2,4,174767,2,PA
233873,2,1,1,1,1,1,1,1,1,2,2,3,4,3,5,4,4,4,1,1,1,85,4,2,2,2,2,2,4,3,3,5,3,1,1,2,4,2,82,1,4,2,4,43610,3,PA
233932,3,1,1,4,1,1,2,1,5,2,3,2,3,2,3,2,3,3,2,1,2,70,0,3,2,2,2,2,5,5,5,3,4,1,1,2,3,4,24,6,4,1,4,51678,3,PA
233979,3,1,1,1,1,1,1,1,5,3,3,3,3,1,5,2,5,3,2,2,1,85,0,3,3,3,3,5,4,4,5,4,5,1,2,3,3,3,25,6,4,1,3,6247,5,PA
234044,4,2,1,2,1,1,1,2,2,2,4,1,2,2,4,2,3,4,2,2,1,40,15,5,5,3,4,2,4,5,2,5,2,1,2,1,2,2,63,4,4,1,1,52655,2,PA
234107,2,1,1,1,1,1,1,1,5,2,4,4,4,2,4,2,4,4,1,1,1,70,15,3,3,2,3,2,5,4,4,5,3,1,1,2,3,2,24,6,4,1,1,95179,3,PA
234274,3,1,1,1,1,1,1,1,5,2,2,4,3,3,2,1,4,3,2,1,1,70,0,2,4,2,4,2,4,5,5,5,3,1,1,1,2,2,30,6,4,1,1,91298,2,PA
234542,3,1,1,1,1,1,2,1,5,3,2,2,3,3,3,3,2,2,1,1,1,70,40,3,3,4,3,2,5,5,5,5,2,2,1,1,3,3,32,1,4,1,3,589257,3,PA
234572,2,1,1,1,1,1,2,1,1,2,4,4,4,3,4,2,4,3,2,1,2,70,30,3,2,2,3,2,5,5,5,5,5,1,2,2,3,4,34,1,2,1,2,21148,2,PA
234749,2,1,1,1,1,1,1,1,1,4,2,3,4,4,2,3,4,3,1,1,1,100,0,1,2,2,1,2,2,5,5,5,5,2,1,1,3,3,46,1,4,1,1,62727,2,PA
234767,3,1,1,1,1,1,1,1,1,4,3,1,3,4,2,4,3,2,1,1,1,90,15,1,1,1,2,1,3,5,5,5,3,1,2,3,4,2,78,1,5,2,1,162307,2,PA
234826,4,1,1,1,1,1,1,1,1,3,4,5,4,3,4,3,4,4,1,2,1,90,15,2,2,2,3,1,5,5,4,5,2,1,1,1,4,3,83,3,2,2,1,26095,3,PA
235133,2,2,1,1,1,1,1,5,5,3,4,3,4,2,5,3,4,4,2,1,2,40,50,2,2,2,2,2,4,5,4,5,3,1,1,1,3,3,20,6,2,1,3,147219,3,PA
235607,2,2,1,1,1,1,3,5,5,2,3,2,3,3,3,3,3,3,2,2,1,50,15,3,4,3,4,3,5,5,5,5,4,1,1,1,4,2,32,6,4,1,3,73292,2,PA
235719,3,2,1,2,1,2,3,5,5,3,4,4,4,3,4,3,5,3,2,2,2,0,85,5,5,5,5,5,1,2,2,3,2,2,2,2,3,3,21,6,2,1,5,15088,3,PA
235754,3,1,1,5,1,1,1,1,1,2,4,1,2,1,4,2,3,4,1,1,1,70,0,2,3,1,2,1,4,5,5,5,3,3,1,2,5,2,37,1,5,1,1,100258,1,PA
235835,1,2,1,4,1,2,1,2,2,2,1,1,1,1,3,2,2,4,2,2,2,15,85,5,5,5,5,3,1,1,2,2,1,1,1,1,2,2,77,1,4,2,3,49885,2,PA
235853,4,1,1,1,1,1,2,1,1,1,4,4,4,1,4,1,4,4,2,2,2,50,30,3,3,3,3,3,3,4,4,5,3,2,1,1,1,3,63,4,2,1,1,50430,3,PA
235859,2,2,1,5,1,2,1,2,2,1,3,4,3,1,4,1,4,4,2,2,2,15,85,5,5,5,5,3,2,2,2,3,1,1,1,1,3,2,73,1,3,2,1,77180,2,PA
235921,3,1,1,1,1,1,2,1,1,3,2,3,3,2,4,2,4,2,1,1,1,70,2,2,2,1,3,2,4,5,5,5,3,2,1,1,2,2,27,6,2,2,1,3404,4,PA
236058,3,1,1,5,1,2,3,5,5,1,5,4,4,1,5,1,5,5,2,2,2,15,60,3,3,5,5,4,4,4,3,4,4,2,2,3,4,2,37,6,3,1,1,41269,3,PA
236067,3,2,1,5,1,1,1,1,5,4,4,4,5,1,5,3,5,5,2,2,2,65,0,3,1,2,4,1,5,5,5,5,2,3,1,1,2,2,24,6,2,1,1,35003,3,PA
236161,2,1,1,4,1,1,1,1,1,3,1,1,2,3,2,3,1,1,1,2,1,85,0,1,1,1,1,2,5,4,5,5,5,1,1,2,4,2,72,1,5,1,1,135243,2,PA
236289,2,2,1,2,1,2,1,2,2,3,2,2,3,3,3,3,4,2,2,2,2,0,40,5,5,5,4,4,1,3,2,4,2,1,1,1,3,2,58,1,5,1,1,709873,2,PA
236326,1,1,1,1,1,1,1,1,1,4,2,1,2,4,3,4,3,1,1,1,1,85,0,1,1,1,1,1,4,5,5,5,2,1,2,2,4,2,83,4,6,2,1,71763,2,PA
236337,2,1,1,5,1,1,1,1,1,3,3,2,2,2,4,2,2,3,1,1,1,85,0,2,1,1,1,2,5,5,5,5,3,1,1,2,4,4,57,6,4,1,1,51149,3,PA
236367,4,1,1,5,1,1,1,1,2,4,1,2,1,2,2,3,3,2,2,2,2,60,30,4,3,4,3,3,5,4,4,5,4,1,2,1,4,2,66,3,3,2,1,65598,1,PA
236449,4,2,1,5,1,2,1,2,2,3,3,2,2,3,3,2,4,3,2,2,2,0,85,5,4,4,5,3,1,2,2,3,1,2,1,1,3,2,38,1,4,1,1,254081,1,PA
236496,2,2,1,2,1,2,1,2,2,3,5,4,4,3,5,3,5,5,2,2,2,0,70,5,5,5,5,3,1,2,1,3,1,2,1,1,4,2,73,1,3,2,3,88765,2,PA
236520,3,2,2,5,1,2,1,5,5,1,5,4,4,1,5,1,4,5,2,2,2,0,85,5,4,5,5,4,3,2,3,2,2,3,1,1,2,3,68,4,6,2,1,7770,4,PA
236635,3,2,1,1,1,2,3,5,1,3,4,3,3,3,3,3,4,3,2,1,1,60,60,3,3,3,3,3,4,3,4,5,4,2,2,1,2,5,31,1,2,1,3,703721,3,PA
236912,1,2,1,4,1,1,1,1,1,3,3,4,4,2,4,2,4,4,1,1,1,85,0,3,2,2,2,2,5,5,5,5,5,1,1,1,4,2,47,1,5,1,1,125819,2,PA
237117,2,2,2,5,1,2,2,5,5,1,4,3,4,1,4,1,4,2,2,2,2,0,85,5,5,5,5,2,1,2,2,2,3,1,1,1,3,3,55,6,2,1,1,76837,4,PA
237835,1,1,1,4,1,1,1,1,1,4,3,1,1,3,3,4,2,4,1,1,1,95,0,1,1,1,1,1,4,5,5,5,4,1,1,1,4,2,77,1,5,2,1,201772,2,PA
237981,2,2,1,5,1,2,4,5,5,1,5,5,5,1,5,2,5,5,2,2,2,40,50,5,5,4,4,3,1,2,5,5,2,2,1,1,1,3,35,6,2,2,5,2304,5,PA
238026,1,1,1,4,1,1,2,5,5,3,3,4,4,3,4,3,4,4,2,1,1,70,50,3,2,2,2,2,3,4,3,3,2,2,1,1,4,3,49,1,4,1,1,97162,3,PA
238067,3,1,2,5,1,1,1,1,1,3,3,1,1,2,3,2,2,3,2,1,1,70,15,3,3,2,3,1,2,5,4,5,4,1,1,1,3,2,29,1,5,1,1,46017,2,PA
238138,1,1,1,4,1,1,1,1,1,4,3,4,3,3,4,3,3,3,1,2,1,75,0,2,2,2,2,1,5,5,5,5,2,1,1,2,4,3,54,1,6,1,1,670159,3,PA
238149,3,1,1,5,1,1,1,1,1,3,3,3,4,3,4,2,3,4,1,1,1,95,0,1,1,1,2,1,4,5,4,5,3,1,1,2,2,2,47,3,3,1,1,27166,3,PA
238276,2,1,1,5,1,1,1,1,1,2,4,3,3,2,4,1,4,5,1,2,1,85,0,2,3,1,2,2,5,5,5,5,3,1,1,2,4,4,35,6,4,1,1,122124,2,PA
238306,1,1,1,1,1,1,1,1,1,5,1,1,3,2,2,5,2,2,1,1,1,100,0,1,1,1,1,2,5,5,5,5,5,1,1,1,3,2,65,1,6,2,1,228291,1,PA
238534,4,1,1,1,1,1,3,5,5,2,3,2,2,1,2,1,2,2,2,1,2,15,0,3,3,3,4,3,4,4,3,5,3,3,2,2,4,4,27,6,3,1,3,100685,2,PA
239047,3,1,1,2,1,1,1,1,1,3,3,1,3,1,4,1,3,2,1,1,1,70,0,2,3,2,3,2,5,5,5,5,5,1,2,1,4,2,64,4,2,1,1,80132,2,PA
239393,1,1,1,2,1,2,1,2,2,3,4,4,4,1,3,1,4,3,2,2,2,0,70,5,5,3,5,3,2,3,2,3,1,1,1,1,2,2,30,1,2,1,1,72820,3,PA
239976,3,1,1,5,1,2,1,2,2,2,2,4,3,2,4,2,4,2,2,2,2,40,60,5,3,5,5,3,3,3,3,4,3,2,1,1,4,2,67,4,2,2,1,50523,2,PA
240023,2,1,1,1,1,1,2,1,1,4,3,3,3,3,3,3,3,3,1,1,1,100,0,4,2,3,2,2,5,5,4,5,4,1,1,2,4,2,82,3,2,2,1,43442,2,PA
313332,1,1,1,1,1,1,2,1,2,3,5,5,4,1,4,1,4,4,1,2,2,85,0,1,1,4,1,1,5,5,5,4,4,1,1,1,2,4,39,1,2,1,6,6957,1,PA
316123,3,1,1,5,1,1,1,1,1,1,3,3,4,3,3,1,4,3,2,1,1,70,0,2,3,2,3,2,2,5,5,5,4,1,1,2,3,3,34,1,4,1,1,28381,3,PA
316316,4,2,1,1,1,2,3,5,5,2,3,3,3,1,4,2,4,3,2,1,2,40,70,4,4,3,4,3,2,3,2,3,3,2,1,1,2,3,18,6,2,1,3,8098,2,PA
316982,4,1,1,5,1,1,1,1,1,3,3,2,2,3,3,2,2,4,2,2,1,70,55,4,2,2,4,2,4,3,2,4,4,1,2,2,4,2,58,1,4,1,1,494374,2,PA
319951,1,1,1,1,1,1,1,1,1,3,3,5,4,2,4,2,5,5,1,1,1,70,0,3,2,1,3,1,5,5,5,5,5,1,1,1,3,3,45,4,6,1,3,227467,2,PA
320766,4,1,2,5,1,1,3,5,5,2,4,3,1,3,4,2,2,3,2,1,1,60,40,3,3,3,4,4,5,5,4,5,4,2,1,2,4,3,33,6,2,1,3,119238,2,PA
324508,4,1,1,4,1,1,1,1,1,2,4,3,3,2,3,2,3,4,1,2,2,85,0,3,3,2,3,2,4,5,4,5,3,3,1,2,3,2,41,1,4,1,1,58346,2,PA
325559,1,1,1,2,1,1,1,1,5,4,2,1,2,2,2,4,1,4,1,1,1,70,0,2,3,2,3,1,3,5,5,5,4,1,1,2,4,2,82,1,4,2,1,116536,2,PA
326904,1,1,1,1,1,1,1,1,1,4,3,2,2,3,3,5,3,3,1,1,1,100,0,1,1,1,1,1,5,5,5,5,4,1,2,2,3,2,64,1,4,1,1,157861,1,PA
328123,5,2,1,5,1,1,5,2,2,2,3,3,4,5,3,5,1,4,2,2,2,15,60,4,1,1,1,3,1,4,1,3,3,1,2,3,3,4,54,1,4,1,2,172230,3,PA
329659,3,1,1,1,1,1,2,5,5,1,4,4,4,1,4,1,5,4,2,2,2,35,0,3,3,2,3,2,5,5,5,5,4,3,1,1,2,3,20,6,3,1,3,14362,3,PA
330824,2,1,1,2,1,1,1,1,1,3,5,4,4,3,4,3,5,4,1,1,1,85,0,1,2,1,2,1,5,5,5,5,4,1,1,1,2,2,40,1,2,1,1,124673,3,PA
331869,4,1,1,1,1,1,1,1,1,3,5,2,2,1,5,1,5,5,2,1,1,85,15,2,3,2,3,2,5,5,4,5,3,1,1,1,1,3,32,6,5,1,3,53873,2,PA
335830,2,2,1,5,1,1,1,1,1,2,2,2,2,3,2,1,5,2,2,2,1,30,15,5,2,5,3,2,5,5,5,5,3,1,1,1,4,2,45,6,3,1,1,203614,3,PA
338080,2,2,1,1,1,1,1,1,1,3,4,3,3,3,4,3,3,3,2,2,1,50,30,4,2,2,2,2,3,5,4,5,3,1,1,2,4,2,49,1,4,1,1,77137,2,PA
338939,3,1,1,1,1,1,1,1,1,3,5,3,3,3,3,3,3,3,1,1,1,85,0,3,3,1,3,3,5,5,5,5,4,1,1,1,3,3,50,1,4,2,1,315757,1,PA
339850,4,1,1,2,1,2,2,2,2,2,4,3,4,3,4,1,4,4,2,2,2,60,85,4,3,2,4,3,2,4,2,5,3,3,2,2,3,2,33,6,2,1,6,33658,3,PA
346911,1,1,1,5,1,1,1,1,1,5,2,3,2,4,4,4,3,3,1,1,1,85,0,2,1,1,2,2,5,5,5,5,5,1,1,2,4,2,84,1,5,2,1,95167,3,PA
352003,4,2,1,5,1,1,1,1,1,2,1,1,1,2,3,2,3,1,1,2,1,70,15,3,3,3,3,3,4,5,3,5,2,1,2,2,4,2,37,1,2,1,1,253925,1,PA
355994,3,1,1,4,1,2,1,5,5,2,3,3,3,2,4,2,3,4,2,2,2,30,60,3,3,3,5,2,1,4,3,4,3,1,1,2,3,4,18,6,2,1,3,17695,3,PA
358797,2,1,1,1,1,1,1,1,5,3,3,4,4,3,5,2,4,3,2,2,2,60,0,3,3,3,4,4,3,5,5,5,5,1,1,1,2,3,24,6,4,1,6,45602,3,PA
360129,3,1,1,4,1,1,1,1,1,2,3,3,2,3,3,1,4,3,1,2,1,85,0,1,1,1,1,1,5,5,5,5,1,1,2,1,4,2,49,1,5,1,1,881774,1,PA
362976,3,1,1,2,1,1,1,5,5,3,3,1,3,1,4,2,4,3,1,1,1,70,0,2,2,2,2,2,3,5,4,5,3,1,2,2,4,2,66,1,4,1,1,72611,1,PA
365558,3,1,1,4,1,1,1,1,1,3,3,3,1,3,4,2,3,4,1,1,1,100,9,2,3,1,2,2,5,5,5,5,5,2,1,2,3,3,65,1,2,2,3,123544,3,PA
367930,4,2,1,4,1,1,1,5,5,2,1,1,1,2,1,2,1,1,2,1,1,70,0,3,3,2,2,3,5,5,5,5,1,1,1,2,4,2,35,1,4,1,3,48967,2,PA
368836,1,2,1,5,1,2,1,5,2,2,3,4,4,2,4,2,4,3,2,2,2,15,30,5,5,4,3,3,4,3,5,5,2,2,1,2,3,4,48,1,3,1,1,172841,2,PA
371522,4,1,1,4,1,1,3,5,5,3,1,2,1,3,2,3,3,1,2,1,2,60,40,3,1,3,3,1,1,3,1,4,1,2,1,3,3,3,31,6,3,1,4,47346,3,PA
376557,1,1,1,1,1,1,1,1,1,4,1,1,1,4,2,4,2,1,1,1,1,95,0,1,2,2,2,1,3,5,5,5,2,1,2,2,4,2,54,3,6,1,6,149483,1,PA
379384,1,2,1,4,1,2,1,2,2,2,3,3,3,2,3,1,4,3,2,2,2,0,85,5,5,5,5,3,2,2,1,2,1,1,1,1,2,2,60,1,3,1,1,124611,2,PA
381027,4,2,1,1,1,1,1,5,1,1,3,2,3,2,4,1,5,4,2,1,1,60,0,2,3,2,1,2,3,5,4,5,5,2,1,1,2,3,27,6,3,1,1,80536,2,PA
381286,1,1,1,1,1,1,1,5,5,5,2,2,3,3,3,3,5,4,1,1,1,90,0,2,1,2,2,1,4,5,5,5,5,1,1,2,3,4,64,6,4,2,1,28868,3,PA
383760,3,1,2,5,1,1,3,5,5,3,3,3,3,3,1,3,3,3,1,1,1,90,15,3,1,1,1,1,4,5,5,4,3,2,2,2,4,2,36,1,4,1,4,106670,1,PA
388929,3,2,1,2,1,2,1,2,2,4,2,2,1,3,2,4,3,3,2,2,2,15,40,3,4,3,4,2,4,3,4,5,3,2,1,1,4,2,65,1,5,1,1,621010,2,PA
389494,3,1,1,2,1,2,1,2,5,2,2,1,3,2,2,3,2,3,2,2,2,15,70,5,4,4,4,2,2,3,2,4,2,1,1,2,3,2,56,1,3,1,1,132933,2,PA
392941,3,2,1,2,1,2,1,2,2,2,3,3,4,2,4,2,4,3,2,2,2,15,100,5,4,5,5,4,1,1,2,2,1,2,1,1,3,4,54,4,2,2,1,23851,3,PA
393820,2,1,1,4,1,1,1,1,1,3,3,3,3,3,3,2,4,3,1,1,1,85,0,2,2,2,2,1,5,5,4,5,4,1,1,2,4,2,59,6,5,1,1,155423,2,PA
394401,4,1,1,1,1,1,1,1,1,2,4,3,4,1,4,1,4,4,2,1,1,85,0,2,2,2,3,3,5,5,5,5,3,1,1,1,3,3,40,4,4,1,1,35133,2,PA
395742,4,1,1,1,1,1,1,1,5,2,4,4,4,2,4,1,3,4,1,2,1,85,0,2,2,2,3,1,5,5,5,5,3,1,1,1,2,3,35,6,5,1,4,265643,2,PA
396669,1,1,1,1,1,1,1,1,1,3,3,4,3,3,4,2,4,3,1,2,1,6,2,2,1,2,2,1,4,5,5,5,3,1,1,2,3,2,83,6,2,2,1,9999,2,PA