Major_Group,Title,Deductive_Reasoning,Dynamic_Strength,Explosive_Strength,Fluency_of_Ideas,Inductive_Reasoning,Manual_Dexterity,Mathematical_Reasoning,Memorization,Oral_Comprehension,Oral_Expression,Perceptual_Speed,Reaction_Time,Selective_Attention,Stamina,Static_Strength,Visualization,Written_Comprehension,Written_Expression,ComplexProb,CritThink,Negotiation,Persuasion,SocPercept,TimeMgmt,Troubleshooting,Florida,Georgia,Massachusetts
27,Actors,2.88,2,1.5,3,2.88,2,1,3.88,4,4.12,2,1,3,2,2,2.62,3.88,2.88,1,1,2,1,2,1,1, , , 
25,Adapted Physical Education Specialists,3.88,2.12,2.12,3.38,3.38,3,2,2.75,4,4.12,2.75,1.88,3.12,3,3,2.38,3.88,3.88,2,2,2,3,2,2,2,58900,66620,75910
25,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",3.5,1,1,3.25,3.25,1,2.88,2.75,3.88,4.25,2.62,1,3,1,1,2,4,4,2,2,3,2,2,2,1,57070,44380,63030
25,"Agricultural Sciences Teachers, Postsecondary",4,1.75,1.38,3.38,4,2,3,3,4.12,4.5,2.12,1.75,2.62,1.75,1.88,2.12,4.12,4,2,2,2,2,2,2,1,66610,101110,98090
25,"Anthropology and Archeology Teachers, Postsecondary",3.88,1.25,1,3.38,3.88,1.5,2.88,3,4.12,4.5,2.25,1,3,1,1,2.12,4.12,4.12,2,2,3,2,2,2,1, , ,112330
25,"Architecture Teachers, Postsecondary",4,1,1,3.5,3.88,1,3.12,2.88,4,4.25,2.38,1.25,2.88,1,1,3.5,4,4,2,2,3,2,2,2,1,113730, ,105130
25,Archivists,3.62,2,1.38,3,3.5,2,2.12,2.62,3.75,3.88,2.38,1,3,1.75,2,2.38,4,3.88,2,2,2,2,1,1,1,50370,61550,75040
25,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",3.62,1,1,3.12,3.75,1,2,2.75,4,4.12,2.12,1,2.88,1,1,2,4,4.12,2,2,2,3,2,2,1,71410,84920,107520
27,Art Directors,3.62,1.12,1,4.25,3.5,2.12,2.5,2.38,4,4,2.75,1.25,2.75,1,1,3.88,4,3.38,2,2,3,3,2,2,1,99120,128630,145220
25,"Art, Drama, and Music Teachers, Postsecondary",3.5,1.38,1.25,3.5,3.62,2.12,2,2.5,4,4.25,2.12,1.38,2.88,1.25,1.62,3,4.12,4.12,2,2,2,2,2,2,1,87690,85940,102090
27,Athletes and Sports Competitors,3.38,3.62,3.62,2.88,3.38,3.12,2.12,2.38,4,3.88,2.88,2.88,3.12,3.88,3.88,3,3.25,2.75,1,2,2,2,2,1,2,63560,229340, 
25,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",4,1.12,1,3,4,1,3.38,3,4,4.75,2.12,1,2.75,1,1.25,2.12,4,4,2,2,2,2,2,1,1,76930,108620,119820
27,Audio and Video Technicians,3.38,2,1.62,2.88,3.25,3,2.12,2.12,3.75,3.88,3,2.12,3.12,2.12,2.12,3,3.5,3.5,2,2,2,2,1,1,3,55910,57890,63730
25,"Biological Science Teachers, Postsecondary",4,1,1,3.38,4,1.75,3.12,2.75,4.12,4.62,2.25,1,2.88,1,1,2,4.12,4.12,2,2,2,2,2,2,1,97840,100100,108000
27,Broadcast Announcers and Radio Disc Jockeys,3.38,1.5,1.5,3.5,3.38,2.25,1.75,3,4,4.88,2.12,2,3.25,1,1.5,2,4,3.88,1,2,2,2,2,2,1,85300,54480,103800
27,Broadcast Technicians,3.25,2,1.12,3,3.12,3,2.62,2.62,3.62,3.25,3,2.5,3.12,2,2.38,3,3.62,3.25,2,2,1,1,1,2,3,60140,50960,61760
25,"Business Teachers, Postsecondary",3.88,1,1,3,3.88,1,3.12,2.88,4,4.62,2.12,1,3,1,1,2.12,4.12,4.12,2,2,2,2,2,2,1,92770,98040,120900
27,"Camera Operators, Television, Video, and Film",3.12,2,1.62,3.12,3.12,3.12,2,2.12,3.5,3.62,2.88,2.12,3.25,2,2.62,3.75,2.88,2.75,1,2,2,2,2,2,3,72570,77630,66350
25,"Career/Technical Education Teachers, Middle School",3.88,1.88,1.38,3.25,3.75,2,2.75,2.75,4,4.12,3,1.88,3.12,1.88,1.88,2.75,4,3.88,2,2,2,2,2,1,2,66310,73940,78000
25,"Career/Technical Education Teachers, Postsecondary",3.62,2,1.38,2.88,3.25,2.5,2.12,2.88,4,4,2.12,2,3,2,2,2.62,3.88,3.88,2,2,3,2,2,1,2,62420,56220,77990
25,"Career/Technical Education Teachers, Secondary School",3.75,1.88,1.38,3.25,3.75,2.75,3,3,4.12,4.12,2.88,1.88,3.25,2,2.12,2.88,4,4,2,2,3,3,2,2,2,62790,68680,89940
25,"Chemistry Teachers, Postsecondary",4,1,1,3.12,3.88,1.38,3,3,4,4.12,2.25,1,3.12,1,1,2.38,4,4.12,2,2,1,2,2,1,2,65490,95950,113920
27,Choreographers,3.62,3.75,2.62,3.88,3.25,1.88,2,3,3.88,4,2.62,1.75,3.12,3.75,2.75,3.75,3.62,3,1,2,3,2,2,2,1,44980, , 
27,Coaches and Scouts,3.75,2.5,1.88,3.75,3.75,2.38,2.25,2.75,4.12,4.62,2.62,1,3.12,2.62,2.88,3.38,3.75,3.5,2,2,3,3,2,2,2,58100,50570,63050
27,Commercial and Industrial Designers,3.75,1.62,1,3.88,3.38,2.12,2.75,2.5,3.75,3.75,2.75,1.75,3.12,1,1.12,3.75,3.75,3.12,2,2,2,3,2,2,1,74770,89370,104020
25,"Communications Teachers, Postsecondary",3.75,1,1,3,3.75,1.12,2.25,2.88,4.12,4.12,2.12,1,3,1,1,2,4,4,2,2,3,2,2,2,1,78800,75170,90520
25,"Computer Science Teachers, Postsecondary",3.88,1,1,3.12,3.88,1.38,3,2.88,4.12,4.12,2.75,1,3.12,1,1,2.38,4,4,2,2,3,2,2,2,1,95410,96530,122190
27,Court Reporters and Simultaneous Captioners,2.88,1,1,1.88,2.62,2.25,2,2.25,4.12,3.88,2.5,1.38,3.75,1,1,1.88,3.88,4,1,1,1,1,1,1,1,60680,63700,74040
27,Craft Artists,3,2.25,1.5,3.62,2.88,3.75,2.5,2,3,3.12,2,2.12,2.88,2.12,2.5,3.5,2.88,2.75,1,1,1,2,2,1,2,47820,53160,47090
25,"Criminal Justice and Law Enforcement Teachers, Postsecondary",3.75,1,1,3,3.88,1,2,2.75,4,4.12,2,1,2.88,1,1,2,4,4,2,2,2,2,2,2,1,63650,68430,92950
25,Curators,3.88,1.62,1.12,3.38,3.75,2,2.88,2.75,4,4,2.75,1,3.12,1.75,2.12,3.25,4,3.88,2,2,3,2,2,2,1,61820,58300,80300
27,Dancers,2.62,4.25,2.62,2.88,2.5,2.12,1.5,2.88,3.5,3,2.5,1.5,3,4.25,3.62,2.75,2.75,2.62,1,1,1,1,1,1,1, , , 
25,"Economics Teachers, Postsecondary",3.88,1,1,3.12,3.75,1,3.38,3,4,4.12,2.5,1,2.88,1,1,2.5,4,4,2,2,1,2,1,1,1,64660,121330,157350
27,Editors,3.5,1.5,1,3.88,3.38,2,2.12,2.62,4,4,2.88,1,3,1,1,2.88,4.88,4.62,2,2,3,2,2,2,1,77390,74680,87300
25,"Education Teachers, Postsecondary",3.88,1.12,1,3.12,3.88,1.75,2.12,2.62,4.12,4.38,2.12,1,2.88,1,1,2.12,4.12,4.12,2,2,2,2,2,2,1,72740,66450,90280
25,"Elementary School Teachers, Except Special Education",3.88,1.38,1.38,3.88,4,1.5,3,2.88,4,4.62,2.62,1,3.12,2.12,2,2.62,3.88,3.88,2,2,3,3,2,2,1,58870,69120,84050
25,"Engineering Teachers, Postsecondary",3.88,1,1,3.25,3.88,1,3.75,2.88,4,4.38,2.62,1.12,3,1,1,3.12,4.12,3.88,2,2,2,2,1,2,1,85780,140560,128380
25,"English Language and Literature Teachers, Postsecondary",3.88,1,1,3.25,3.88,1,2,2.75,4.25,4.62,2,1,2.88,1,1,2,4.88,4.25,2,2,3,2,2,2,1,71920,69650,103410
25,"Environmental Science Teachers, Postsecondary",4,1,1,3.12,4,1,3.12,2.75,4,4.38,2.25,1,2.88,1,1,2.12,4.12,4,2,2,2,2,1,1,1,75510,91870,109130
25,"Family and Consumer Sciences Teachers, Postsecondary",3.62,1,1,3,3.5,1.12,2.75,2.75,4,4.12,2.25,1,2.75,1,1,2.25,4.12,4,2,2,1,2,2,1,1, , , 
25,Farm and Home Management Educators,4,1.75,1.5,3.5,4,2,3,3.12,4.12,4.5,2.88,1.88,3,1.75,1.75,3,4.12,4,2,2,3,3,2,2,1,58150,47580, 
27,Fashion Designers,3.62,1.38,1.38,3.88,3.5,2.38,2.25,2,3.75,3.88,2.88,1.62,3,1,1.5,3.75,3.88,3.62,2,2,3,3,2,2,1,57550,77500,107560
27,Film and Video Editors,3.38,1,1,3.62,3.12,2.38,2,2.25,3.88,3.75,3.12,1.38,3.38,1,1,3.62,3.62,3.38,2,2,2,2,1,2,2,65050,60420,89710
27,"Fine Artists, Including Painters, Sculptors, and Illustrators",3,2.25,1.5,4,3,3.38,2.12,1.75,3.12,3,2.5,1.75,2.88,1.88,2.62,4,3,2.88,1,2,1,1,1,1,2,60120,64570,92930
27,Floral Designers,3.12,2.12,1.5,3.38,2.88,3.12,2.25,2,4,4,2.25,1.25,3,2.12,2.12,3.88,3,2.88,1,2,1,2,2,2,1,36640,33530,45930
25,"Foreign Language and Literature Teachers, Postsecondary",3.38,1,1,2.88,3.62,1,2,2.88,4.12,4.25,2.12,1,3,1,1,2,4,4,2,2,2,2,2,1,1,71340,72450,106900
25,"Forestry and Conservation Science Teachers, Postsecondary",3.75,1.38,1.38,3.12,3.75,1,3.25,2.75,4.12,4.75,2.38,1.62,2.88,1.38,1.62,2,4.25,4.12,2,2,3,2,2,2,1, ,101390, 
25,"Geography Teachers, Postsecondary",3.75,1,1,3.12,3.75,1,2.62,2.5,4,4.25,2.12,1,2.88,1,1,2.25,4,4.12,2,2,2,2,2,2,1, ,85810,100670
27,Graphic Designers,3.25,1.25,1,3.88,3.12,2.12,2,2,3.62,3.5,2.75,1,3,1,1,3.12,3.75,3.5,2,2,3,2,2,2,1,62750,62340,80030
25,"Health Specialties Teachers, Postsecondary",3.88,1.75,1.38,3.12,3.75,1.62,2.88,2.88,4,4.75,2.12,1.5,3,1.62,1.75,2.12,4.12,4,2,2,3,2,2,2,1,137640,149720,162370
25,"History Teachers, Postsecondary",3.88,1.25,1,3,3.88,1,2,2.88,4,4.75,2.12,1,3,1,1,2,4.12,4.38,2,2,3,2,2,2,1,62000,78880,108880
25,Instructional Coordinators,3.88,1,1,3.62,3.75,1.25,3,3.12,4.12,4.25,2.62,1,3,1.38,1,3,4.38,4.25,2,2,3,3,2,2,1,68610,79590,87900
27,Interior Designers,3.62,1,1,4.12,3.25,1,3,2.25,4,4,2.88,1,3,1,1,4,3.88,3.62,2,2,3,3,2,2,2,65230,71600,82040
27,Interpreters and Translators,3.12,1.38,1.38,3,3,1.5,2,2.88,4.12,4.25,2.88,1,3.12,1.88,1.38,2.75,4,4,1,2,1,2,2,1,1,54790,62510,70100
25,"Kindergarten Teachers, Except Special Education",3.38,2,1.5,3.75,3.38,1.62,2.5,2.75,3.88,4.12,2.62,1,3.25,1.88,2.25,2.38,4,3.88,2,2,3,3,2,2,1,60090,67650,82790
25,"Law Teachers, Postsecondary",4,1,1,3,4,1,2.12,2.62,4.12,4.62,2.25,1,2.62,1,1,2,4.38,4,2,2,2,2,2,1,1,144680, ,174240
25,Librarians and Media Collections Specialists,3.25,1.88,1.75,3,3.25,2.25,2.12,2.75,4.12,4.25,2.62,1.25,3,1.12,1.88,2.12,4.12,3.75,1,2,2,2,2,2,1,63860,70900,76600
25,"Library Science Teachers, Postsecondary",3.88,1.38,1,2.88,3.88,1,2.25,2.88,4.25,4.25,2.25,1,2.88,1,1,2.12,4.25,4,2,2,2,2,2,1,1,76700,71340,77480
25,Library Technicians,3,2.12,1.25,2.12,2.88,2.5,2,2.38,3.38,3.38,2.75,1.12,2.88,2,2.25,2,3.25,3,1,1,1,1,1,1,1,42960,36170,51870
25,"Mathematical Science Teachers, Postsecondary",4,1,1,3.12,3.88,1,4.25,3,4,4.12,2.12,1,2.88,1,1,2.12,4,3.88,2,2,2,2,1,2,1,83390,71060,92850
27,Media Programming Directors,3.75,1.12,1,3.88,3.62,2,2.5,2.75,4.25,4.25,2.38,2.12,3.12,1,1,2.62,4.12,4.12,2,2,3,3,2,2,1,97420,97700,94380
27,Media Technical Directors/Managers,4,1.38,1.25,3.38,3.75,2.25,2,2.75,4,4,3.25,2.25,3.25,1.38,1.38,3.12,3.75,3.75,2,2,2,3,2,2,2,97420,97700,94380
27,Merchandise Displayers and Window Trimmers,3.25,2.25,1.75,3.38,3,3.38,2.12,2,3.62,3.62,2.75,1.88,2.88,3,3,3.88,3,3,1,2,1,2,1,1,1,38960,37290,46220
25,"Middle School Teachers, Except Special and Career/Technical Education",3.75,1,1,3.38,3.25,1.25,2.88,3,3.88,4.25,2.75,1,3,1.38,1,2.5,3.88,3.88,2,2,3,3,2,2,1,58220,69310,85230
25,Museum Technicians and Conservators,3.25,2,1.25,3.25,3.12,3.12,2.25,2.75,3.62,3.75,2.88,1.75,3,1.88,2.75,3.25,3.5,3.5,2,2,2,1,1,1,1,53210,54910,61060
27,Music Directors and Composers,3.5,2.25,1.75,3.75,3.12,2.25,2.12,3,3.62,3.62,2.75,1.5,3.12,2,1.75,2.38,3.75,3.5,2,2,3,3,2,2,1,69760,70460,86440
27,Musicians and Singers,2.88,2.25,1.75,3,2.88,3.12,2.12,3.5,3.88,3.88,3,2.12,2.88,2.12,1.88,2.75,3.5,3.12,1,1,2,2,2,1,1, , , 
27,"News Analysts, Reporters, and Journalists",3.25,1.75,1.12,3.25,3.38,1.88,2,2.75,3.88,4,2.62,1.12,3.38,1.12,1.25,2.38,3.75,3.88,2,2,2,3,2,2,1,66190,89690,78210
25,"Nursing Instructors and Teachers, Postsecondary",3.88,2,1.5,3.12,3.88,2.12,3,2.75,4.12,4.12,2.88,1.5,3.12,2,2,2.12,4.12,4,2,2,3,3,2,2,2,88970,74340,90830
25,"Philosophy and Religion Teachers, Postsecondary",3.88,1,1,3,4,1,2,3,4,4.12,2.25,1,2.5,1,1,2,4.12,4,2,2,1,2,2,1,1,70410,76940,101620
27,Photographers,3.12,1.75,1.25,3.25,3,3,2,2,3.62,3.88,2.75,2.5,3,1.75,2,3.88,3.25,3,2,2,2,2,2,1,2,55520,51100,68190
25,"Physics Teachers, Postsecondary",3.88,1,1,3.25,3.88,2.12,3.88,2.88,4,4.38,2.25,1.5,2.88,1,1,2.38,4,4,2,2,2,2,2,2,2,68450,104870,113000
27,"Poets, Lyricists and Creative Writers",3.12,1.62,1,4.25,3.38,2,1.88,2,3.88,3.75,1.88,1,3,1,1,2.5,4.12,4.75,2,2,1,2,2,1,1,79820,78720,92520
25,"Political Science Teachers, Postsecondary",3.25,1.25,1,3,3.75,1,2,2.75,4.12,4.12,2.12,1,3,1,1,1.88,4.25,4,2,2,2,3,2,1,1,66220,89880,124370
25,"Preschool Teachers, Except Special Education",3.5,2,1.38,3.62,3,2.12,2.38,2.75,4,4,2.62,1.25,2.88,2.38,2.12,2.62,3.62,3.12,1,2,2,2,2,1,1,34830,45760,48630
27,Producers and Directors,4.12,1.5,1.25,3.62,3.62,2.12,2.62,2.88,4.12,4.5,3,1.75,3.12,1,1.75,3.62,3.88,3.75,2,2,3,2,2,2,1,97420,97700,94380
25,"Psychology Teachers, Postsecondary",3.88,1,1,3.25,3.88,1,2.88,2.88,4,4.5,2.12,1,2.5,1,1.12,2.12,4.12,4.12,2,2,2,2,2,1,1,83400,82970,97240
27,Public Relations Specialists,3.88,1,1,3.75,3.62,1,2,2.25,4.25,4.12,2,1,2.88,1,1,2.62,3.88,4,2,2,3,3,2,2,1,68870,88840,84920
25,"Recreation and Fitness Studies Teachers, Postsecondary",3.75,1.38,1,3.25,3.75,1.12,2.5,2.62,4,4.12,2.12,1,3,1.62,1.38,2.12,4,4,2,2,3,3,2,2,1,85890,66750,84450
25,"Secondary School Teachers, Except Special and Career/Technical Education",4,1,1,3.62,3.62,1.38,3,3,4.12,4.25,2.88,1,3,1.25,1,2.88,4,3.88,2,2,3,2,2,2,1,61880,70340,87200
25,Self-Enrichment Teachers,3.12,1.75,1.25,3,3,1.88,2,2.5,3.88,4,2.12,1.25,2.62,1.88,1.75,2.5,3.12,3.12,1,2,1,2,2,1,1,47100,54570,64460
27,Set and Exhibit Designers,3.62,1.38,1,4.12,3.5,2.62,2.75,2.5,4,3.75,2.88,1.75,3,1.38,2.12,4,3.88,3.75,2,2,3,2,1,2,1,68050,61450,78270
25,"Social Work Teachers, Postsecondary",4,1,1,3.38,4,1,2.38,2.75,4,4.75,2,1,2.62,1,1,2,4,4,2,2,2,2,2,2,1,69730,72600,97140
25,"Sociology Teachers, Postsecondary",3.88,1.12,1,3.12,4,1,2.12,2.25,4,4.5,2.12,1,2.62,1,1,1.88,4,4,2,2,2,2,2,2,1,99140,97020,109030
27,Sound Engineering Technicians,3.25,1.38,1,3.25,3.12,2.88,2.12,2.5,3.75,3.75,3.12,1.75,3.38,1.12,2.12,3.12,3.5,3.5,2,2,2,2,1,1,3,67770,60140,70050
25,"Special Education Teachers, Middle School",3.88,1.25,1.25,3.12,3.88,1.12,2.75,2.88,4,4,2.75,1,3.12,1.62,1,2.5,4.12,4,2,2,3,3,2,2,1,59630,70640,86210
25,"Special Education Teachers, Preschool",3.88,2,1.75,3.25,3.75,2.12,2,2.5,4,4.12,2.5,1,3.38,2,2,2.25,4,3.75,2,2,2,2,2,2,1,52640,77480,80820
25,"Special Education Teachers, Secondary School",3.75,1.25,2,3.75,3.75,1,2.88,2.88,4,4,2.75,1.38,3.25,1.88,2,2.62,4,4,2,2,3,3,2,2,1,63220,70910,85200
27,Special Effects Artists and Animators,3.62,1.25,1,3.38,3.25,2.25,2.75,2.12,4.12,4,2.75,1.75,3,1,1,4,4,3.5,1,2,2,2,1,1,1,82140,80730,87970
27,Talent Directors,3.62,1.5,1,3.25,3.75,1.12,2.38,2.38,4,4.12,2.25,1,2.88,1.25,1,2.62,4,3.62,2,2,3,3,2,2,1,97420,97700,94380
25,"Teaching Assistants, Postsecondary",3.12,1,1,3.12,3.12,1.62,2.25,2.25,4.12,4.12,2.12,1,3,1,1,2.12,4,3.5,2,2,1,1,2,1,1,36560,37640,49690
25,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",3.38,2.25,2,3.25,3.12,2,2.62,2.62,3.75,3.75,2.75,1.12,2.88,2.38,2.12,2.75,3.75,3.5,2,2,2,2,2,2,1, , , 
27,Technical Writers,3.75,1,1,3,3.38,2,1.88,2,3.88,3.75,2.12,1,2.5,1,1,3,4.12,4.25,1,2,2,2,1,2,1,87110,79200,106090
25,Tutors,3.38,1,1,3.38,3.38,1.62,2.88,2.88,4.12,4,2.25,1,3.12,1,1,2.12,4,4,2,2,3,2,2,2,1,46990,45040,60940
27,"Umpires, Referees, and Other Sports Officials",3.25,2.12,2,1.88,3,1.75,2.12,3,3.75,3.88,3.12,2.12,3.12,2.88,2.12,2.62,3,2.88,1,2,2,2,1,1,1,41700,34760,68080
27,Writers and Authors,3.12,1.12,1.12,3.88,3.12,1.12,1.38,2.38,4,4,2,1.12,2.75,1.12,1.12,2.38,4.12,4.62,1,2,2,3,2,2,1,79820,78720,92520
