Major_Group,Title,Deductive_Reasoning,Dynamic_Strength,Explosive_Strength,Fluency_of_Ideas,Inductive_Reasoning,Manual_Dexterity,Mathematical_Reasoning,Memorization,Oral_Comprehension,Oral_Expression,Perceptual_Speed,Reaction_Time,Selective_Attention,Stamina,Static_Strength,Visualization,Written_Comprehension,Written_Expression,ComplexProb,CritThink,Negotiation,Persuasion,SocPercept,TimeMgmt,Troubleshooting,Connecticut,Idaho,Mississippi
45,Agricultural Equipment Operators,3,2.12,1.75,2.25,2.88,3.12,1.62,2.12,3.25,3.12,2.88,3.25,2.88,2.38,3.12,2.88,2.25,2,1,1,1,1,1,1,3, ,45280,32370
45,Agricultural Inspectors,3.88,2,1,2.75,3.88,2.5,2.5,2.12,3.88,3.75,3.25,2.12,3,2,2,2.75,3.62,3.12,2,2,2,2,1,1,2, ,50340,46920
45,Animal Breeders,3.12,2.62,1.75,2,3,2.88,2.38,1.75,3,2.88,2.62,1.88,2.5,2.62,3,2.5,2.88,2.62,1,2,1,1,1,1,2, ,50420, 
31,Dental Assistants,3.38,2.12,1.25,2.75,3,3,2.12,2,3.88,4,2.88,1.88,3,2.12,2.12,2.38,3.5,3.12,1,1,2,1,2,1,2,51540,42710,40160
31,Endoscopy Technicians,3.25,2.12,1.62,2.62,3,3.25,2.12,2.5,3.75,3.75,3,2.25,3.12,2,2.62,2.88,3.62,3.12,1,2,1,1,2,1,3,48000,47080,42930
45,Fallers,2.88,3,2.13,2.13,2.75,3.5,2.25,1.88,3,3,3,4.13,2.88,3.38,3.5,3.13,2.13,2,1,2,1,1,1,1,3, ,84480,56820
45,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",3,3.5,3.38,2.62,2.88,3.75,2.25,2.12,3.12,3.25,2.38,3.25,2.75,3.5,3.62,2.75,2.62,2.88,1,1,1,1,1,1,3,39430,34260,35480
45,"Farmworkers, Farm, Ranch, and Aquacultural Animals",3.38,2.38,1.88,2.5,3.12,3.12,2.12,2.12,3.38,3,2.88,2.75,3,2.62,3.12,2.75,3,2.62,1,2,1,1,1,1,3,37640,40640,38540
45,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",3.38,2.5,2.38,3,3.38,3,2.62,2.5,3.88,3.75,3,2.62,2.75,2.62,2.75,3,3.12,3.12,2,2,3,2,2,2,3,63900,69570,68000
45,Fishing and Hunting Workers,2.88,2.88,2.62,2.25,2.88,3.12,1.12,2.12,2.88,2.88,2.5,2.75,2.62,2.75,3.12,2.5,2.5,2.25,1,1,1,1,1,1,3, , , 
45,Forest and Conservation Workers,3.12,3.12,2,2.75,3,3,2,2.12,3.5,3.25,3,2.5,3,3.12,3.25,3,3,2.75,1,2,1,1,1,1,2,42570,43320, 
45,"Graders and Sorters, Agricultural Products",2.38,2.25,1.38,1.25,2.38,3.25,1.62,1.62,3,2.88,2.12,2,2.25,2.25,2.62,1.62,2.12,1.88,1,1,1,1,1,1,1, ,29820,26760
31,Home Health Aides,3.25,2.12,1.88,3,3.38,2.88,2.12,2.12,3.75,3.88,2.62,2,3,2.62,2.88,2.75,3,3.12,1,2,2,3,2,2,1, , , 
45,Log Graders and Scalers,3.25,2.12,2,2.5,3.25,3,3,2,3.38,3.38,3.12,2.25,3,2.12,2.5,2.88,3,3.12,1,2,2,2,1,1,2, ,64570,44080
45,Logging Equipment Operators,2.88,2.25,1.5,2,2.88,3.12,2.38,2,3,3,3.12,3.88,3,2,2.88,3.12,2.62,2.25,1,1,1,1,1,1,3, ,62050,46230
31,Massage Therapists,3.12,3.75,1.88,2.75,3,3.5,2,2.12,3.62,3.62,2,1.12,3.12,3.12,3,2,3.12,3.12,1,1,1,1,2,1,1,59470,66790,53230
31,Medical Assistants,3.5,1.88,1.25,2.75,3.25,2.25,2.75,2.88,4,4,3,1.88,2.75,2,2.12,2.38,4,3.75,1,2,2,2,2,1,1,47280,43600,35620
31,Medical Equipment Preparers,3.25,2.25,1.12,2,3,3.25,2,2,3.62,3.25,3.25,2.5,2.88,2.62,3,3,3.12,3.25,1,2,1,1,1,1,3,48790,48000,35610
31,Medical Transcriptionists,3,1.25,1,1.88,3,2.62,1.88,2.12,4.25,3.75,3,1,3.12,1.25,1,1.75,4.12,3.88,1,1,1,1,1,1,1,47700,35930,44420
31,Nursing Assistants,3.12,2.25,1.88,2.12,3,2.75,2.12,2.25,3.88,3.75,2.25,2.12,2.88,2.88,3.25,2,3.12,3.12,1,2,1,1,2,1,2,44860,37740,31750
31,Occupational Therapy Aides,3.25,2.12,1.88,2.75,3,2.88,2,2.12,3.75,3.5,2.25,1.75,2.62,2.62,2.88,2.12,3.12,3.12,2,2,2,2,2,1,2, ,27170,33400
31,Occupational Therapy Assistants,3.38,2.25,1.5,3.12,3.25,3,2,2.38,4,4,2.75,2,3,2.25,3.12,2.62,3.62,3.75,1,2,2,2,2,2,2,68680,70850,63520
31,Orderlies,2.88,3,3,2.12,2.88,3,1.88,2.25,3.62,3.38,2.25,2.25,2.38,3,3.38,2.25,2.75,2.75,1,1,1,1,2,1,2,37510,40080,29940
31,Personal Care Aides,3.25,2,2,2.38,3,2.12,2,2.25,3.88,3.88,2.38,2,3,2.75,2.88,2.25,3.25,3,1,2,1,1,2,1,2, , , 
31,Pharmacy Aides,3,2.12,1,1.88,2.75,2.38,2.88,2,4,3.5,2.88,1.62,2.62,2.12,2.12,2.12,3.25,3,1,1,1,1,2,1,1,37250,40970,32220
31,Phlebotomists,3.38,2,1.75,2.5,3.12,3,2.25,2.25,3.5,3.5,3,1.88,3,2.25,2.12,2.5,3.5,3.12,1,2,1,1,2,1,2,47120,42750,36240
31,Physical Therapist Aides,2.88,2.25,1.38,2.12,3,2.62,2,2.25,3.38,3.12,2.75,1.5,3,2.62,2.88,2.12,3,3,1,1,1,2,2,1,2,37010,30980,30110
31,Physical Therapist Assistants,3.25,2.25,1.62,3,3.25,3,2,2.12,4,4.12,3,2,3.25,2.5,3.12,3,3.75,3.25,2,2,1,2,2,1,2,70470,58310,60570
31,Psychiatric Aides,3.62,2.12,2.25,2.88,3.5,2.75,2.12,2.12,3.88,4,3,2.75,3.12,2.75,2.88,2.38,3.75,3.12,2,2,3,2,2,1,2,50600, ,31100
31,Speech-Language Pathology Assistants,3.5,1,1,3,3.5,2.12,2.12,2.38,4,4,2.75,1,2.75,1,1,2.25,3.88,3.88,2,2,2,2,2,1,1,48000,47080,42930
31,Veterinary Assistants and Laboratory Animal Caretakers,3.12,2,1.38,2.25,3,3.12,2.75,2.12,3.38,3.38,2.5,2,3,2.38,2.75,2.25,3,3.25,1,2,1,1,1,1,2,46350,35460,30440
