V240001,V241004,V241006,V241012,V241025,V241042,V241043,V241100,V241104,V241108,V241118,V241119,V241120,V241121,V241122,V241123,V241124,V241125,V241126,V241141,V241150,V241153,V241166,V241167,V241200,V241201,V241202,V241203,V241204,V241205,V241206,V241207,V241208,V241209,V241215,V241231,V241232,V241233,V241234,V241450,V241458x,V241459,V241463,V241471,V241501x,V241621,V243052
200504,2,2,1,1,1,2,1,1,5,3,2,4,5,2,4,1,4,3,2,2,2,80,65,5,5,5,5,5,1,1,2,2,1,1,1,1,2,2,4,41,1,2,1,1,2,MIDA
200632,3,1,1,1,1,2,4,5,5,2,2,2,3,1,3,2,2,3,2,2,2,70,15,5,4,5,4,4,1,2,2,4,1,2,1,3,4,3,3,44,6,3,1,3,4,MIDA
200638,4,1,1,4,1,1,2,1,1,4,3,3,3,3,3,3,3,2,1,1,1,85,25,2,2,2,2,2,5,5,4,5,3,2,2,2,3,4,1,57,1,5,1,1,4,MIDA
200715,1,1,1,1,1,1,1,1,1,4,3,4,3,3,3,4,3,3,1,1,1,85,15,3,2,1,2,1,3,5,4,5,5,1,1,1,3,3,1,61,1,2,1,1,4,MIDA
200819,3,2,1,1,1,2,3,1,1,4,3,4,4,1,3,1,5,2,2,2,2,60,50,4,4,4,3,4,1,4,2,2,1,1,1,1,2,3,2,39,6,2,1,2,2,MIDA
200854,4,1,1,1,1,1,1,1,1,4,3,2,2,3,3,2,4,3,1,1,1,75,35,2,1,2,2,2,4,5,4,5,4,1,1,1,4,2,0,35,6,5,1,3,2,MIDA
200922,4,1,1,1,1,1,3,1,1,2,2,3,2,3,3,3,3,2,1,1,1,55,15,2,2,1,2,2,2,5,5,5,2,3,1,1,2,3,1,42,6,6,1,1,1,MIDA
201216,2,2,1,2,1,2,1,2,2,1,4,4,4,1,4,1,4,4,2,2,2,30,60,5,4,4,5,2,1,2,1,2,1,1,1,1,3,2,1,82,1,5,2,1,4,MIDA
201364,2,1,1,1,1,1,1,1,1,2,3,4,3,2,4,2,2,3,1,2,1,60,30,2,2,2,2,1,5,5,3,4,4,1,2,2,3,4,2,74,1,6,2,4,2,MIDA
201560,1,2,1,2,1,2,1,5,5,1,5,5,5,1,5,1,5,5,2,2,2,4,82,5,5,5,5,5,1,1,1,1,2,3,1,1,3,3,1,61,6,2,1,1,3,MIDA
201865,4,1,1,1,1,1,1,1,1,3,3,3,4,3,3,4,3,2,1,1,1,85,60,4,4,4,4,3,5,5,5,5,5,1,1,1,2,2,2,61,1,2,1,3,3,MIDA
201947,4,1,1,1,1,1,2,1,1,3,3,3,3,3,3,4,4,3,1,1,1,85,15,2,2,2,2,3,4,5,5,5,4,1,1,2,4,2,0,32,6,4,1,1,3,MIDA
202619,3,1,1,4,1,1,1,1,1,2,3,3,3,1,4,2,4,4,2,1,1,65,10,3,2,2,3,2,5,5,5,5,3,1,1,1,3,2,0,47,4,2,1,1,3,MIDA
203207,3,1,1,4,1,1,4,5,1,3,3,3,2,3,3,1,2,3,2,1,1,80,30,4,3,4,4,3,5,5,5,5,5,1,1,2,3,4,1,45,4,2,1,1,3,MIDA
203254,3,1,1,1,1,1,1,1,1,3,3,2,4,1,3,2,1,3,1,2,1,85,40,3,2,2,2,2,3,4,3,5,4,1,2,1,3,3,4,55,1,5,1,2,3,MIDA
203325,3,1,1,1,1,1,1,1,5,2,3,2,3,2,3,3,3,3,1,2,1,70,30,2,2,2,2,2,5,5,5,5,5,1,1,1,4,4,1,84,1,2,2,1,3,MIDA
203331,2,1,1,4,1,1,1,1,5,4,2,3,2,3,2,3,3,2,2,1,2,55,25,2,3,2,3,3,4,5,5,5,4,1,1,1,3,2,9,25,6,4,2,3,3,MIDA
203349,4,2,1,1,1,1,1,2,2,1,3,3,3,1,3,1,3,3,2,2,2,40,40,5,3,4,5,2,3,3,2,5,4,2,1,2,3,4,0,75,3,5,2,1,2,MIDA
203372,2,2,1,2,1,2,1,2,2,1,5,5,4,1,5,2,4,5,2,2,2,10,60,5,5,5,5,5,2,2,2,3,2,1,1,1,2,2,4,59,1,2,1,1,3,MIDA
203770,2,2,1,4,1,1,1,1,1,4,3,1,1,3,3,3,2,3,1,1,1,70,15,2,2,3,3,3,5,5,5,5,3,1,1,1,2,4,3,40,1,4,1,1,2,MIDA
203886,3,1,1,1,1,1,3,1,1,4,4,2,4,2,3,1,4,3,1,1,1,100,15,3,2,2,2,1,5,5,5,5,4,1,1,2,3,4,5,45,1,5,2,1,2,MIDA
204041,1,2,1,2,1,2,1,2,2,2,3,4,4,2,4,1,3,3,2,2,2,40,70,5,5,5,5,5,2,3,3,2,1,1,1,1,4,2,1,76,1,5,1,1,3,MIDA
204113,2,2,1,1,1,1,3,1,1,2,3,3,3,1,3,2,3,3,2,2,2,60,30,2,2,2,2,2,5,5,5,5,5,3,1,1,3,4,1,48,6,2,2,2,2,MIDA
204130,2,1,1,2,1,1,2,1,1,2,1,1,1,4,2,2,1,1,1,1,1,90,60,1,2,1,2,3,5,5,5,5,5,1,2,2,4,3,3,46,1,5,1,1,2,MIDA
204172,3,1,1,1,1,1,1,1,5,4,2,2,2,4,3,3,3,3,1,1,2,85,15,2,1,2,2,1,5,5,5,5,3,1,1,2,3,2,0,23,6,4,1,1,1,MIDA
204411,4,1,1,1,1,1,1,1,1,3,3,3,3,3,3,4,3,3,1,1,1,100,10,1,1,2,1,1,3,5,3,5,3,1,2,2,3,3,3,49,6,4,1,1,3,MIDA
204649,4,1,1,2,1,1,3,5,5,2,4,3,4,1,4,1,4,4,1,2,2,15,60,2,2,2,2,2,5,5,5,5,5,2,1,1,2,2,1,72,3,2,1,1,3,MIDA
204776,2,2,1,2,1,2,1,2,2,1,2,1,1,1,2,1,2,5,2,2,2,30,85,5,5,5,5,4,1,2,1,2,3,2,1,1,2,4,0,62,1,2,1,1,3,MIDA
204794,2,2,1,2,1,2,1,1,1,3,2,3,3,2,3,2,2,1,2,2,1,40,60,5,4,4,3,3,2,3,3,5,3,2,1,1,2,2,1,46,1,5,1,4,3,MIDA
204877,3,1,1,2,1,1,1,1,1,3,3,3,2,3,3,3,3,3,1,1,2,85,15,3,3,2,2,1,4,5,5,5,4,1,1,2,4,2,1,74,1,4,2,1,1,MIDA
204941,1,2,1,2,1,2,1,2,2,3,5,5,5,1,5,2,5,5,2,2,2,2,55,5,5,5,5,5,1,1,2,3,2,1,1,1,2,4,4,43,1,4,1,1,3,MIDA
205158,3,1,1,1,1,1,1,1,1,2,1,3,2,2,2,2,2,2,1,1,1,70,15,3,3,3,3,1,5,5,5,5,5,2,1,2,4,2,1,31,1,6,1,1,1,MIDA
205170,1,2,1,1,1,1,1,1,2,2,2,4,4,1,3,3,4,3,2,2,2,70,30,3,1,3,4,2,5,5,5,5,5,2,1,1,4,2,1,68,4,5,2,2,1,MIDA
205446,1,2,1,2,1,2,1,2,2,1,4,4,4,1,4,1,4,4,2,2,2,40,85,5,4,4,4,5,1,1,2,2,1,2,2,1,4,2,3,70,1,2,1,1,3,MIDA
205589,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,1,2,1,85,15,3,2,3,3,2,4,5,4,5,5,1,1,1,4,4,0,63,1,2,2,1,2,MIDA
205676,3,2,1,2,1,2,1,2,2,5,2,4,3,1,4,1,4,3,2,2,2,50,85,5,5,5,5,5,1,1,1,1,1,2,1,1,2,4,2,38,1,1,1,1,4,MIDA
205695,2,1,1,1,1,1,1,1,1,3,2,2,3,2,2,3,3,2,1,1,1,70,15,3,1,3,1,2,5,5,5,5,4,2,1,1,3,3,0,58,4,4,2,1,2,MIDA
205707,4,2,1,1,1,1,1,1,1,4,2,2,1,3,2,4,2,2,1,1,1,100,15,1,1,1,1,1,5,5,5,5,5,2,1,2,4,2,0,76,4,2,2,1,1,MIDA
205760,3,2,1,4,1,1,2,1,1,1,5,4,4,1,4,1,4,4,2,2,2,40,40,4,4,4,4,4,5,5,5,5,5,1,1,1,1,2,8,36,1,3,1,1,4,MIDA
205778,2,2,1,2,1,2,1,2,2,4,4,4,3,3,4,3,3,4,2,2,2,15,70,4,5,4,3,4,2,3,3,4,2,1,1,1,2,4,0,59,4,2,2,6,2,MIDA
205796,2,2,1,2,1,2,1,2,2,3,2,3,3,2,3,1,3,2,2,2,2,15,85,5,4,5,5,4,1,2,2,4,3,2,1,1,2,4,1,65,1,3,2,1,3,MIDA
205820,3,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,1,1,1,70,30,2,2,2,2,1,4,5,5,5,5,1,1,2,4,4,0,76,4,3,2,1,3,MIDA
205826,3,2,1,2,1,2,1,2,2,2,3,1,2,2,3,2,2,3,2,2,2,30,85,4,4,4,5,4,1,2,2,2,2,1,1,1,3,4,1,56,1,2,1,1,3,MIDA
206002,1,2,1,2,1,2,1,2,2,1,5,5,5,1,5,1,5,5,2,2,2,15,60,5,5,5,5,2,1,2,2,3,1,2,1,1,3,4,0,66,4,2,1,6,1,MIDA
206071,5,2,1,4,1,2,2,2,2,2,3,3,3,1,3,1,3,3,2,2,2,15,15,4,5,4,4,3,3,5,2,5,2,2,1,1,2,2,1,32,1,4,1,1,4,MIDA
206279,2,2,1,4,1,2,1,2,2,3,1,2,2,1,3,3,3,3,2,2,1,30,70,4,3,4,5,2,1,3,1,3,2,1,2,1,3,3,1,34,1,4,1,1,1,MIDA
206296,1,1,1,2,1,2,1,2,2,3,2,3,2,1,2,1,2,3,2,2,2,15,80,5,5,5,5,5,1,1,1,1,1,1,1,1,4,2,0,73,4,2,2,1,3,MIDA
206439,4,1,1,1,1,1,3,1,5,1,3,2,3,1,4,1,2,2,2,2,1,60,40,4,4,4,4,4,5,5,4,5,3,2,1,1,2,4,1,55,1,3,1,1,1,MIDA
206445,1,1,1,2,1,2,2,5,5,5,1,1,3,3,3,5,3,4,2,2,1,30,85,3,3,3,3,3,2,3,3,3,3,2,2,2,5,2,2,24,1,4,1,1,1,MIDA
206469,2,2,2,5,1,2,2,1,5,2,4,4,4,1,4,1,4,4,2,2,1,15,60,3,3,1,3,3,5,5,3,5,3,2,1,1,2,4,2,34,1,2,1,1,2,MIDA
206557,4,1,1,1,1,1,1,1,1,3,2,2,2,2,3,3,2,3,1,1,1,70,40,4,2,4,3,2,4,5,5,5,2,1,2,2,4,2,4,70,1,5,2,4,2,MIDA
206598,1,2,1,4,1,2,1,2,2,2,5,5,3,1,5,2,5,5,2,2,2,15,50,5,5,5,5,4,1,2,1,3,2,1,2,1,4,2,1,66,1,6,1,1,2,MIDA
206616,2,2,1,1,1,1,3,2,2,1,5,5,5,1,5,1,5,5,1,2,2,60,40,3,3,2,2,2,5,5,4,5,4,1,1,1,3,2,3,56,1,5,1,1,3,MIDA
206622,3,2,1,1,1,1,2,1,5,2,1,2,1,2,3,2,3,2,2,2,2,15,10,2,2,1,2,1,5,5,4,5,3,1,1,1,3,2,0,35,1,3,1,1,2,MIDA
206846,2,2,1,2,1,2,1,2,2,3,3,3,3,3,3,3,3,3,2,2,2,25,100,5,5,5,5,2,1,1,1,1,1,3,1,2,3,3,2,53,1,6,1,1,1,MIDA
320048,2,1,1,4,1,1,1,1,5,5,2,5,2,3,3,1,2,5,1,2,1,70,15,1,3,1,3,1,5,5,5,5,5,1,1,1,3,2,1,52,1,5,1,4,2,MIDA
329726,4,1,1,2,1,1,1,1,2,3,3,1,1,3,3,3,2,3,1,2,1,60,70,2,3,1,3,2,3,5,5,5,4,1,2,2,3,3,1,66,1,4,1,1,2,MIDA
330021,2,1,1,1,1,1,1,1,1,2,2,3,3,4,2,3,5,3,1,2,1,70,15,3,3,2,3,1,1,5,5,5,3,2,1,1,4,2,0,30,6,5,1,1,1,MIDA
332721,1,2,1,2,1,2,1,2,2,5,4,3,3,3,5,4,3,4,2,2,2,30,70,4,4,3,4,3,1,1,1,3,1,3,1,2,3,4,4,46,1,5,1,1,1,MIDA
336854,2,2,1,2,1,2,4,2,1,3,5,3,4,3,5,4,4,5,2,2,-8,60,85,5,5,4,5,4,2,2,4,4,2,2,1,1,3,2,0,33,6,2,2,3,2,MIDA
341749,2,2,1,2,1,2,4,2,2,5,4,4,4,1,5,3,5,4,2,2,2,20,80,5,5,4,5,5,2,3,2,3,4,1,1,1,4,2,1,60,1,2,1,1,1,MIDA
345491,3,1,1,1,1,1,1,1,1,4,4,4,3,4,4,3,4,5,2,2,2,100,85,3,3,4,4,2,5,5,5,5,5,2,1,2,2,3,0,67,6,1,2,2,3,MIDA
347406,2,1,1,1,1,1,1,1,1,4,2,2,2,3,2,4,2,2,1,1,1,75,40,3,3,1,2,1,5,5,4,5,4,1,2,1,4,2,3,45,1,6,1,1,2,MIDA
347601,3,1,2,5,1,1,2,5,5,1,4,3,5,1,4,1,4,4,2,2,2,85,70,1,2,1,2,2,4,4,4,4,4,3,1,1,3,4,2,33,6,2,1,2,3,MIDA
350030,3,1,1,1,1,1,1,1,1,3,4,4,4,2,5,2,4,5,1,1,1,85,20,1,2,1,1,1,5,5,5,5,4,2,1,2,4,2,3,52,1,6,1,1,3,MIDA
352264,2,1,1,1,1,1,3,5,5,2,3,4,4,3,4,2,4,4,2,2,1,65,20,1,1,2,3,2,1,5,3,5,2,2,1,1,2,4,0,24,6,3,1,1,4,MIDA
359848,3,1,2,5,1,1,2,5,5,3,4,3,4,4,4,3,3,4,1,1,1,60,50,2,2,2,2,2,5,5,3,5,3,2,1,1,3,3,0,57,6,4,1,1,4,MIDA
372998,4,1,2,5,1,1,2,1,1,4,3,3,3,3,4,2,3,4,2,2,2,70,60,3,2,2,3,2,3,4,3,5,3,1,1,1,3,2,3,56,1,2,1,3,2,MIDA
374873,1,1,1,1,1,1,1,1,5,2,5,5,2,1,4,5,2,5,1,1,1,85,15,1,1,1,1,1,5,5,5,5,5,2,1,2,3,4,0,62,1,1,2,2,3,MIDA
379245,1,2,1,2,1,2,2,2,2,3,4,5,4,4,4,1,5,4,2,2,2,15,100,5,5,5,5,3,1,1,1,1,1,2,2,2,4,2,1,74,1,5,2,1,1,MIDA
388490,2,2,1,2,1,2,1,2,2,2,5,5,5,2,5,2,5,5,2,2,2,15,85,5,3,5,5,3,1,1,1,1,1,2,1,1,3,3,3,52,4,2,1,1,2,MIDA
388959,3,2,1,1,1,2,1,2,5,3,5,2,3,2,5,2,5,5,2,2,2,40,60,4,4,4,5,2,1,3,2,3,2,2,1,1,3,3,1,65,3,2,1,1,2,MIDA
388996,2,1,1,1,1,1,2,1,2,3,3,3,3,3,4,3,4,4,1,1,1,70,15,1,2,1,2,1,5,5,2,5,3,1,1,1,3,2,1,68,1,4,2,1,3,MIDA
392069,3,1,2,5,1,1,1,1,1,2,3,3,3,2,4,1,4,4,1,1,1,60,15,3,4,2,3,3,5,5,5,5,2,1,2,2,4,2,1,36,1,5,1,1,2,MIDA
396258,3,1,1,4,1,1,1,2,5,3,2,3,3,1,4,1,4,2,1,1,1,70,60,1,1,1,3,1,1,5,3,5,3,1,1,1,2,1,2,24,6,4,1,2,3,MIDA