V240001,V241004,V241006,V241012,V241025,V241042,V241043,V241100,V241104,V241108,V241118,V241119,V241120,V241121,V241122,V241123,V241124,V241125,V241126,V241141,V241150,V241153,V241156,V241157,V241200,V241201,V241202,V241203,V241204,V241205,V241206,V241207,V241208,V241209,V241215,V241231,V241232,V241233,V241234,V241450,V241459,V241463,V241471,V241501x,V241567x,V241621,V243052
207160,5,2,1,5,1,2,2,1,2,2,2,2,1,2,3,2,2,3,2,2,2,15,60,5,5,5,5,2,2,2,3,5,3,1,1,1,2,3,0,6,4,1,1,89170,1,MWE
207189,4,1,1,5,1,1,2,5,1,3,1,3,1,4,3,4,1,3,1,1,1,90,0,2,2,2,2,2,5,5,5,5,5,3,2,2,4,3,0,6,2,1,2,70889,2,MWE
207361,1,1,1,5,1,1,3,1,5,2,5,3,3,1,4,2,4,5,2,2,2,60,40,3,3,2,3,2,3,4,4,3,4,2,1,1,2,5,0,6,2,2,2,5572,5,MWE
207419,4,1,1,5,1,2,2,5,5,2,4,4,3,1,3,1,4,3,2,2,2,15,85,3,3,3,4,3,3,3,2,3,3,2,1,1,3,4,2,6,2,2,1,202891,4,MWE
207583,2,1,1,5,1,1,1,1,1,3,4,4,4,1,4,1,4,4,1,1,1,100,0,2,1,2,2,1,4,5,4,4,4,1,1,1,4,2,5,3,2,1,2,117815,3,MWE
207768,1,2,2,5,1,2,1,2,2,2,4,4,5,1,4,2,4,4,2,2,2,0,85,5,5,5,5,1,2,1,3,1,2,1,1,1,4,2,0,6,4,1,1,78331,2,MWE
207813,1,1,1,5,1,2,3,2,2,4,1,1,1,3,2,5,2,2,1,1,1,70,60,4,3,4,4,2,2,2,2,3,3,1,2,2,4,2,1,1,5,1,2,387927,1,MWE
207818,5,1,1,5,1,1,1,1,1,4,2,1,1,2,3,2,1,2,1,2,1,100,50,1,1,1,1,1,5,5,5,5,5,1,1,2,4,4,0,3,2,2,2,25850,2,MWE
207830,4,1,1,5,1,1,2,5,1,4,5,5,5,3,5,3,5,5,2,2,2,85,40,2,2,2,2,2,5,5,5,5,4,2,1,1,4,4,0,6,2,1,1,93383,3,MWE
207956,2,2,1,5,1,1,1,1,1,3,4,3,3,3,4,2,5,5,2,2,2,50,15,2,4,3,4,3,1,5,3,4,2,1,1,1,3,4,0,6,5,1,1,54018,3,MWE
208096,4,2,1,5,1,2,4,5,5,1,4,5,3,1,5,1,5,4,2,2,2,30,100,4,5,4,4,3,3,2,2,3,4,3,1,1,2,4,2,1,2,1,1,33743,3,MWE
208152,4,1,1,5,1,1,3,5,5,4,3,2,1,2,3,3,1,2,2,2,1,50,60,5,5,5,5,5,3,5,3,3,5,2,1,2,4,4,1,6,2,1,2,40789,3,MWE
208254,2,1,1,5,1,1,1,1,5,2,3,3,2,2,4,2,4,4,1,2,1,70,0,3,2,3,2,2,5,5,5,5,4,2,2,2,3,2,1,1,4,2,1,586065,2,MWE
208308,3,2,1,5,1,2,2,2,5,1,4,4,4,1,4,1,4,4,2,2,2,30,60,5,5,4,4,4,4,3,4,4,3,1,1,1,3,2,2,4,5,1,1,68349,3,MWE
208372,1,1,1,5,1,1,1,1,1,3,3,3,4,4,4,3,3,4,1,1,1,75,0,3,2,2,3,2,5,5,5,5,5,1,2,2,4,4,2,1,4,2,1,161149,2,MWE
208473,3,1,1,5,1,2,1,2,2,1,2,4,3,1,4,1,4,2,2,2,2,30,85,5,4,5,4,3,1,3,4,3,2,2,1,1,2,3,4,1,4,1,1,243007,2,MWE
208570,2,1,1,5,1,1,1,1,1,4,5,3,4,2,4,2,4,4,2,1,1,85,15,2,1,2,2,2,5,5,4,5,4,1,1,1,2,4,1,6,3,1,2,32851,3,MWE
208688,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,15,1,1,1,1,1,1,1,3,1,3,2,2,1,1,1,6,6,2,1,2,7797,1,MWE
208805,4,1,1,5,1,1,1,1,1,2,3,3,2,1,4,3,4,2,2,2,2,70,30,3,3,3,3,3,5,5,5,5,3,2,1,1,2,2,1,4,2,1,2,50390,1,MWE
208963,2,1,1,5,1,1,2,1,1,4,2,2,2,4,2,4,1,3,1,1,1,100,0,1,1,1,1,1,5,5,5,5,5,1,1,2,5,2,0,6,5,1,1,69137,1,MWE
208980,2,1,1,5,1,1,1,1,1,4,2,1,2,3,3,3,2,2,1,1,1,90,5,4,1,1,2,1,4,5,4,5,4,1,2,2,4,2,4,1,5,1,1,244894,2,MWE
209010,2,2,1,5,1,1,1,1,1,4,2,2,2,3,3,4,3,3,1,2,1,85,0,2,1,2,1,1,5,5,5,5,5,2,2,2,4,3,0,4,5,2,1,55637,2,MWE
209016,3,1,1,5,1,1,1,1,1,4,2,2,3,4,3,5,3,3,1,1,1,100,0,2,2,1,1,1,5,5,5,5,4,1,1,1,2,3,0,3,5,2,1,61820,3,MWE
209082,2,2,1,5,1,2,1,2,2,2,3,3,3,2,3,1,3,4,2,2,2,0,80,5,4,5,5,3,1,1,3,3,1,1,1,1,3,2,1,1,2,1,3,189059,4,MWE
209094,2,1,1,5,1,2,2,2,2,1,1,1,2,2,1,1,2,1,1,1,1,50,70,3,3,3,3,3,2,2,2,2,2,2,2,2,2,4,0,3,2,2,1,43361,3,MWE
209212,3,2,1,5,1,2,1,2,2,2,4,4,4,2,4,2,4,4,2,2,2,5,70,5,4,5,4,3,2,1,2,3,1,2,1,1,3,4,0,6,4,1,1,2688,2,MWE
209508,2,1,1,5,1,2,1,1,1,2,4,4,4,2,4,2,4,4,1,2,2,50,60,4,3,3,3,2,2,4,4,5,2,1,1,1,3,3,4,1,4,1,1,524964,1,MWE
209525,3,1,1,5,1,1,1,1,1,2,1,1,2,2,1,2,3,2,1,2,1,75,15,2,2,2,3,2,5,4,4,5,3,3,1,2,4,3,3,1,5,1,1,100170,2,MWE
210135,2,1,1,5,1,1,1,1,1,2,3,4,3,2,3,1,4,4,1,2,1,80,0,2,1,2,2,1,5,5,5,5,5,1,1,2,3,4,1,1,5,1,1,140325,2,MWE
210267,1,1,1,5,1,1,1,1,2,3,4,4,4,1,4,2,5,5,1,2,2,75,0,2,2,2,1,1,5,5,5,5,3,1,1,1,3,2,1,1,3,2,1,912335,1,MWE
210285,2,2,1,5,1,2,1,2,2,2,4,4,5,1,4,1,5,4,2,2,2,1,95,5,5,5,5,4,1,2,1,2,2,1,1,1,3,3,0,3,3,1,1,84409,2,MWE
210387,3,1,1,5,1,1,2,5,5,1,4,3,4,2,4,1,5,4,1,1,1,85,0,2,1,1,2,2,3,5,5,5,4,1,1,1,2,2,0,6,2,1,1,222586,2,MWE
210728,4,2,1,5,1,2,1,2,2,3,1,2,3,1,2,1,3,1,2,2,2,0,75,5,5,5,5,1,1,2,1,3,1,1,1,1,3,3,1,4,4,1,1,80764,2,MWE
210913,2,1,1,5,1,1,1,1,1,4,3,4,4,3,5,3,4,4,1,1,1,85,0,2,1,1,1,1,3,5,3,5,4,1,1,2,4,2,0,6,5,1,1,52237,3,MWE
211099,2,2,1,5,1,1,1,1,1,4,3,2,2,4,2,4,3,3,1,2,1,75,0,3,2,2,2,1,5,5,5,5,5,1,2,2,4,2,1,1,4,2,1,94864,2,MWE
211134,2,1,1,5,1,1,1,1,1,4,2,2,3,4,2,4,3,2,1,1,1,85,0,1,1,1,1,1,5,5,5,5,3,1,1,2,4,2,1,1,5,2,1,80310,1,MWE
211288,3,1,1,5,1,1,1,1,1,2,1,3,1,2,1,2,1,2,1,1,1,100,0,1,1,1,1,1,5,5,5,5,5,2,1,1,3,3,0,3,5,2,3,39940,2,MWE
211300,2,1,1,5,1,1,1,1,1,5,3,3,3,3,3,4,3,3,1,2,1,100,0,2,1,1,1,2,1,5,5,5,5,1,1,2,4,4,0,1,2,2,1,87925,2,MWE
211395,2,2,1,5,1,2,1,2,2,2,4,4,4,2,4,1,4,4,2,2,2,10,95,5,5,5,5,5,2,2,2,2,1,2,1,1,4,2,1,1,2,2,1,162611,2,MWE
211492,1,2,1,5,1,2,1,2,2,1,5,5,5,1,5,1,5,5,2,2,2,0,70,5,5,5,5,4,1,2,1,1,2,1,1,1,3,3,1,1,2,2,1,99813,4,MWE
211840,2,1,1,5,1,1,1,1,1,2,4,3,3,1,4,2,2,4,1,1,1,70,0,4,3,2,3,3,2,5,5,5,4,1,1,2,4,3,2,4,5,2,2,293476,2,MWE
212237,2,2,1,5,1,2,1,5,5,1,4,4,5,1,4,2,4,4,2,2,2,15,85,5,5,4,4,3,1,2,1,3,1,2,1,1,2,2,1,4,2,2,1,103810,2,MWE
212359,2,1,1,5,1,1,1,1,2,3,5,5,5,2,5,2,5,5,1,1,1,75,5,3,2,3,3,3,4,5,4,5,4,2,1,1,2,2,0,6,4,1,1,74358,3,MWE
212475,2,1,1,5,1,1,1,1,1,4,2,1,2,4,2,3,2,2,1,1,1,85,0,2,2,2,2,2,5,5,5,5,4,1,1,2,4,2,0,4,2,1,1,63455,3,MWE
212487,3,1,1,5,1,1,1,1,1,4,1,1,2,3,2,3,2,1,1,1,1,85,0,2,1,1,2,1,5,5,5,5,5,2,1,2,4,2,1,1,2,2,1,191822,2,MWE
212540,3,2,1,5,1,2,1,2,2,1,3,3,3,1,3,1,3,5,2,2,2,0,85,5,5,5,5,5,1,4,2,4,3,2,1,1,2,2,1,1,4,1,1,342422,3,MWE
212558,2,2,1,5,1,2,1,2,2,1,5,4,4,1,5,1,4,5,2,2,2,15,85,5,5,5,5,5,1,1,2,2,2,1,1,1,2,4,0,4,2,2,1,50908,3,MWE
212747,4,2,1,5,1,2,3,1,1,3,3,3,3,3,3,3,3,3,2,2,2,30,50,4,4,4,4,4,3,3,3,3,3,2,2,2,4,2,2,1,4,1,1,271616,2,MWE
212908,2,1,1,5,1,2,1,2,5,2,4,4,4,1,4,1,4,4,2,2,2,15,85,5,5,5,5,5,1,2,1,3,1,2,1,1,2,4,2,1,2,1,1,242791,2,MWE
212956,3,1,1,5,1,2,1,2,2,1,4,3,3,1,4,1,5,4,2,2,2,0,70,5,5,2,5,3,2,2,2,3,2,2,1,1,3,2,1,1,4,1,1,170515,1,MWE
213182,3,2,1,5,1,2,1,2,2,1,5,5,4,1,5,1,5,5,2,2,2,0,85,5,5,5,5,2,2,1,2,2,2,2,1,1,2,3,0,3,2,1,1,23268,3,MWE
213345,2,1,1,5,1,2,2,5,5,3,3,3,3,1,4,2,3,3,2,2,2,40,85,5,4,4,4,4,2,3,3,4,1,2,1,1,3,3,0,3,2,2,1,4062,3,MWE
213399,4,2,2,5,1,1,4,5,5,1,2,2,2,2,2,1,2,2,2,2,2,50,0,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,5,6,2,1,3,670702,4,MWE
213471,2,2,1,5,1,2,1,2,2,2,3,3,4,2,5,1,5,4,2,2,2,30,85,4,4,4,4,2,2,3,2,3,1,3,1,1,3,2,2,1,5,1,1,484286,2,MWE
213477,3,2,1,5,1,2,2,2,2,1,4,4,4,1,4,1,4,4,2,2,2,0,90,5,5,5,5,5,2,2,2,2,2,1,1,1,3,3,3,1,4,1,1,243112,2,MWE
213489,1,2,1,5,1,2,1,2,5,1,5,5,3,1,5,1,5,3,2,2,2,5,90,5,5,5,5,3,2,2,2,3,3,1,1,1,2,3,0,4,3,2,1,31702,5,MWE
213542,2,2,1,5,1,2,1,2,2,1,2,1,2,1,4,2,5,3,2,2,2,0,70,5,5,5,5,3,1,2,2,3,2,1,1,1,3,2,3,1,5,1,1,230691,3,MWE
213607,2,1,1,5,1,1,1,1,2,3,1,1,1,3,2,2,1,1,1,2,1,85,15,2,2,1,1,1,5,5,5,5,3,2,2,2,4,2,1,1,3,2,1,265101,2,MWE
213643,2,1,1,5,1,1,1,1,1,3,4,3,4,3,4,3,4,4,2,1,1,100,0,1,2,2,2,2,5,5,5,5,5,2,1,2,3,2,1,1,3,2,1,84179,2,MWE
213666,2,1,1,5,1,1,1,1,1,3,3,3,2,3,3,3,3,4,1,1,1,85,0,3,2,2,2,2,5,5,5,5,3,1,1,2,4,2,1,1,4,2,1,74150,1,MWE
213952,4,1,1,5,1,2,2,1,2,3,4,2,3,3,2,3,2,3,2,2,2,50,60,4,3,2,4,2,1,4,2,4,2,2,1,1,3,2,0,6,2,1,2,96083,1,MWE
213997,3,1,1,5,1,2,1,5,5,1,4,3,4,1,5,1,4,4,2,2,1,60,85,3,3,2,3,3,2,3,2,4,2,1,1,1,2,5,1,6,3,1,1,71442,3,MWE
214128,4,2,1,5,1,2,2,2,2,3,3,3,3,3,3,3,3,3,1,2,1,50,70,4,4,4,5,4,3,2,2,2,2,2,1,2,3,4,0,6,2,1,1,2002,1,MWE
214249,4,1,1,5,1,1,1,1,1,3,3,3,3,3,3,3,3,3,2,1,1,85,0,2,1,2,2,1,5,5,4,5,5,1,1,1,3,3,4,1,5,1,1,68215,3,MWE
214296,3,1,1,5,1,1,1,1,1,4,4,4,4,3,4,3,4,4,1,1,1,100,0,1,1,1,1,1,5,5,5,5,5,2,1,1,3,3,0,3,2,2,1,5669,3,MWE
214664,4,2,1,5,1,1,1,1,1,4,2,1,2,3,3,3,2,3,2,1,1,65,0,3,3,1,2,2,2,5,4,5,3,1,1,1,3,2,4,1,4,1,1,190808,3,MWE
214723,3,2,1,5,1,2,1,2,2,1,5,5,5,1,5,1,5,5,2,2,2,0,100,5,5,5,5,3,1,1,1,1,2,1,1,1,2,2,2,1,2,1,1,5817,2,MWE
214915,2,2,1,5,1,2,1,2,2,1,5,4,4,2,4,2,5,4,2,2,2,0,85,5,5,5,5,4,1,1,1,2,1,1,1,1,4,2,1,1,2,2,1,53715,2,MWE
215391,3,2,1,5,1,2,1,2,2,1,5,5,5,1,5,1,5,5,2,2,2,0,60,5,5,4,5,5,3,3,3,5,2,2,1,1,2,2,0,3,4,2,1,298140,3,MWE
313016,4,1,1,5,1,2,1,5,5,3,2,3,3,3,3,3,3,1,2,2,2,50,100,3,3,3,3,3,1,2,2,2,1,2,1,1,4,2,2,4,1,1,2,70899,2,MWE
316600,3,2,1,5,1,2,3,5,1,4,1,4,1,1,1,1,1,1,2,2,2,50,50,4,4,4,4,4,4,4,4,5,4,2,1,2,3,3,0,6,2,2,2,9722,1,MWE
317877,2,1,1,5,1,1,1,1,1,5,1,1,3,4,2,5,1,1,1,1,1,100,0,2,1,1,2,1,5,5,5,5,5,1,1,1,2,3,0,4,2,1,1,40925,2,MWE
323299,1,2,1,5,1,2,1,2,2,1,5,4,4,1,5,1,5,5,2,2,2,15,90,4,5,4,5,2,1,2,1,2,2,1,1,1,2,2,0,6,3,2,1,43148,2,MWE
331503,2,2,1,5,1,2,1,5,5,1,4,5,5,2,5,2,5,5,2,1,2,0,100,5,5,5,5,2,1,2,1,1,1,2,1,1,2,4,2,1,5,1,1,156302,1,MWE
335445,1,1,1,5,1,1,1,1,1,3,3,2,3,4,3,3,2,3,1,1,1,100,0,1,2,1,2,2,5,5,5,5,4,1,1,2,3,2,2,1,5,1,1,219403,2,MWE
337211,1,2,1,5,1,2,1,2,2,2,3,3,2,2,3,2,4,3,2,2,2,30,85,5,4,5,4,2,1,2,1,3,2,1,1,1,4,3,3,1,3,1,1,178487,2,MWE
342163,2,1,1,5,1,1,1,1,1,3,4,2,3,2,4,2,4,5,1,1,1,85,15,4,3,3,3,1,4,4,5,5,2,1,1,1,3,2,1,1,4,1,1,177274,1,MWE
345922,1,1,1,5,1,1,1,1,1,3,2,1,2,3,3,3,4,3,1,1,1,85,0,3,3,3,2,2,4,5,5,5,3,1,2,2,4,2,2,1,4,1,1,48938,2,MWE
349491,3,1,1,5,1,1,1,2,5,1,1,3,3,1,1,1,5,1,1,2,2,85,30,1,3,2,2,2,4,4,5,5,1,2,1,1,3,3,1,1,3,1,2,109327,4,MWE
357891,2,1,1,5,1,1,1,1,1,3,1,1,3,3,3,1,2,2,1,2,-8,40,0,3,4,1,2,3,3,5,5,5,2,1,1,2,3,2,3,4,6,1,1,188828,1,MWE
358067,2,2,1,5,1,2,1,2,5,2,4,3,3,2,3,2,4,1,2,2,2,30,70,5,4,4,4,1,2,3,2,2,1,1,1,2,3,4,0,6,3,2,6,14841,1,MWE
362981,1,2,1,5,1,1,1,1,1,4,4,3,3,3,4,4,2,4,1,1,1,85,0,2,1,1,1,2,5,5,5,5,4,1,1,2,3,4,3,1,5,1,1,205085,2,MWE
365449,3,1,1,5,1,2,1,2,2,1,4,1,3,1,3,2,3,4,2,2,2,30,15,3,5,2,4,3,2,3,2,4,3,1,1,1,3,2,1,1,2,2,1,76012,2,MWE
365722,3,1,1,5,1,1,2,1,5,1,3,2,3,1,4,1,1,3,2,1,1,50,15,3,2,3,3,4,5,5,5,5,4,2,1,1,3,2,3,1,5,1,1,515528,2,MWE
365943,1,1,1,5,1,1,1,1,1,3,4,3,2,3,3,3,4,4,1,1,1,85,50,1,1,2,1,1,5,5,5,5,5,2,1,1,3,4,1,4,3,1,2,4293,3,MWE
366281,2,2,1,5,1,2,1,2,2,5,1,4,5,1,1,3,5,1,2,2,2,0,100,5,5,5,5,5,1,1,1,2,1,1,1,1,2,2,1,1,2,2,1,278078,2,MWE
366544,4,2,1,5,1,2,3,1,5,3,2,2,2,3,2,2,3,2,2,1,2,50,50,3,4,3,3,2,2,5,3,5,3,1,1,1,1,4,0,6,4,1,4,261100,4,MWE
367771,1,1,1,5,1,1,1,1,2,4,3,3,4,3,4,3,3,4,1,2,1,100,30,3,1,2,1,1,2,5,3,5,1,1,2,2,3,2,4,1,4,1,1,220240,1,MWE
373349,1,1,1,5,1,1,1,1,1,4,3,2,3,4,3,4,3,3,1,1,1,85,0,2,2,1,1,2,5,5,5,5,4,1,1,2,4,2,4,1,3,1,1,176411,2,MWE
375448,1,2,1,5,1,2,1,2,2,3,3,4,4,2,4,3,3,4,2,2,2,0,70,5,3,3,4,2,4,3,2,3,2,2,1,1,3,2,1,1,2,1,1,296545,2,MWE
375738,4,1,1,5,1,1,1,5,5,2,4,2,2,2,4,2,3,2,2,2,1,60,70,4,3,2,3,2,2,5,3,4,4,2,1,2,4,3,6,6,2,1,6,5971,1,MWE
379149,1,1,1,5,1,1,2,5,1,5,5,5,5,5,5,2,3,5,1,2,2,100,15,1,1,1,1,1,5,5,5,5,5,2,2,1,4,4,0,6,2,2,2,19867,2,MWE
381267,2,1,1,5,1,2,1,2,2,2,4,3,4,2,4,2,4,4,2,2,2,0,85,5,4,3,3,2,2,2,1,3,2,1,1,1,4,2,5,3,2,1,1,70614,3,MWE
383828,2,1,1,5,1,1,1,1,1,3,2,2,1,3,2,3,3,2,1,1,1,70,0,3,3,2,3,3,5,5,5,5,4,1,2,2,4,2,0,1,5,2,1,199894,2,MWE
390206,4,2,1,5,1,2,4,5,5,3,3,2,3,2,4,2,4,3,2,2,2,15,70,4,3,3,4,4,2,3,3,3,2,1,2,1,4,2,1,6,2,2,1,48734,2,MWE